B180 ,  S0 ,  0.0 ,  0.0
B181 ,  0.0 ,  0.0 ,  0.0
B182 ,  0.0 ,  0.0 ,  0.0
B183 ,  0.0 ,  0.0 ,  0.0
B184 ,  0.0 ,  0.0 ,  0.0
B185 ,  0.0 ,  0.0 ,  0.0
B186 ,  0.0 ,  0.0 ,  0.0
B187 ,  0.0 ,  0.0 ,  0.0
B188 ,  0.0 ,  0.0 ,  0.0
B189 ,  0.0 ,  0.0 ,  0.0
B190 ,  0.0 ,  0.0 ,  0.0
B191 ,  E ,  0.0 ,  0.0
B192 ,  0.0 ,  0.0 ,  0.0
B193 ,  S0 ,  0.0 ,  0.0
B194 ,  S ,  0.0 ,  0.0
B195 ,  0.0 ,  0.0 ,  0.0
B196 ,  0.0 ,  0.0 ,  0.0
B197 ,  S ,  0.0 ,  0.0
B198 ,  S0 ,  0.0 ,  0.0
B199 ,  0.0 ,  0.0 ,  0.0
B200 ,  0.0 ,  0.0 ,  0.0
B201 ,  0.0 ,  0.0 ,  0.0
B202 ,  S0 ,  0.0 ,  0.0
B203 ,  S0 ,  0.0 ,  0.0
B204 ,  S0 ,  0.0 ,  0.0
B205 ,  0.0 ,  0.0 ,  0.0
B206 ,  0.0 ,  0.0 ,  0.0
B207 ,  0.0 ,  0.0 ,  0.0
B208 ,  S ,  0.0 ,  0.0
B209 ,  0.0 ,  0.0 ,  0.0
B210 ,  0.0 ,  0.0 ,  0.0
B211 ,  0.0 ,  0.0 ,  0.0
B212 ,  0.0 ,  0.0 ,  0.0
B213 ,  0.0 ,  0.0 ,  0.0
B214 ,  0.0 ,  0.0 ,  0.0
B215 ,  0.0 ,  0.0 ,  0.0
B216 ,  0.0 ,  0.0 ,  0.0
B217 ,  0.0 ,  0.0 ,  0.0
B218 ,  0.0 ,  0.0 ,  0.0
B219 ,  0.0 ,  0.0 ,  0.0
B220 ,  0.0 ,  0.0 ,  0.0
B221 ,  0.0 ,  0.0 ,  0.0
B222 ,  S0 ,  0.0 ,  0.0
B223 ,  0.0 ,  0.0 ,  0.0
B224 ,  S0 ,  0.0 ,  0.0
B225 ,  0.0 ,  0.0 ,  0.0
B226 ,  0.0 ,  0.0 ,  0.0
B227 ,  S0 ,  0.0 ,  0.0
B228 ,  0.0 ,  0.0 ,  0.0
B229 ,  0.0 ,  0.0 ,  0.0
B230 ,  0.0 ,  0.0 ,  0.0
B231 ,  0.0 ,  0.0 ,  0.0
B232 ,  0.0 ,  0.0 ,  0.0
B233 ,  0.0 ,  0.0 ,  0.0
B234 ,  0.0 ,  0.0 ,  0.0
B235 ,  0.0 ,  0.0 ,  0.0
B236 ,  0.0 ,  0.0 ,  0.0
B237 ,  0.0 ,  0.0 ,  0.0
B238 ,  0.0 ,  0.0 ,  0.0
B239 ,  0.0 ,  0.0 ,  0.0
B240 ,  0.0 ,  0.0 ,  0.0
B241 ,  0.0 ,  0.0 ,  0.0
B242 ,  E ,  0.0 ,  0.0
B243 ,  0.0 ,  0.0 ,  0.0
B244 ,  0.0 ,  0.0 ,  0.0
B245 ,  0.0 ,  0.0 ,  0.0
B246 ,  0.0 ,  0.0 ,  0.0
B247 ,  S0 ,  0.0 ,  0.0
B248 ,  0.0 ,  0.0 ,  0.0
B249 ,  0.0 ,  0.0 ,  0.0
B250 ,  0.0 ,  0.0 ,  0.0
B251 ,  0.0 ,  0.0 ,  0.0
B252 ,  0.0 ,  0.0 ,  0.0
B253 ,  0.0 ,  0.0 ,  0.0
B254 ,  S0 ,  0.0 ,  0.0
B255 ,  0.0 ,  0.0 ,  0.0
B256 ,  0.0 ,  0.0 ,  0.0
B257 ,  0.0 ,  0.0 ,  0.0
