Radio Name(A),  Opt Name(B),  Ra Radio,  Dec Radio,  Area observed,  Area detectable, flux(mJy),  log(lum)-W/Hz,  log(lum)-W/Hz-detectable,  num Opt,   num opt detectable,  Ra NED,  Dec NED,  z,  MagNED, objID SDSS,  Ra SDSS,  Dec SDSS,  Mag_u,  Mag_g,  Mag_r,  Mag_i,  Mag_z,  Note,  u-r, color classification,  radio morph  optical morph,   conclution
A45,  B45,  255.08483,  78.81061,  2.83827,  5.35229,  49.0,  20.558,  20.323,  169,  218,  255.08125,  78.81028,  0.051,  16.13,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  None,  0.00,  UN,  ext / Iregular- noisy / 6",  ext / disk shape-S0 / 11",  0.0
A46,  B46,  255.10654,  78.82394,  2.99199,  10.25142,  231.0,  21.232,  20.335,  175,  257,  255.10625,  78.82417,  0.051,  16.5R,  1237663231215534435,  255.10723,  78.82401,  19.43,  17.58,  16.80,  16.37,  19.43,  None,  2.63,  A,  ext / circle center / 9.2",  ext / lenticular-Sa-S0 /13",  0.0
A47,  B47,  256.81508,  78.50219,  3.40237,  10.25142,  1200.0,  21.947,  20.370,  181,  257,  256.81583,  78.50222,  0.063,  17.2V,  1237663230678794661,  256.81521,  78.50217,  18.98,  17.70,  16.48,  16.01,  18.98,  None,  2.51,  A,  comp / circle / 7.6",  ext / egg shape- lenticular-S0 / 7",  0.0
A48,  B48,  256.05950,  78.91006,  3.53583,  10.25142,  203.0,  21.176,  20.382,  184,  257,  256.06042,  78.91000,  0.063,  18.2V,  1237663231215665398,  256.06043,  78.90996,  19.53,  18.48,  18.14,  17.80,  19.53,  None,  1.40,  UN,  ext / circle center / 8.5",  ext / elliptical-E6 / 10",  0.0
A49,  B49,  257.01250,  78.54406,  3.58035,  8.46769,  109.0,  20.906,  20.386,  185,  246,  257.01333,  78.54417,  0.060,  18.0V,  1237663230678794724,  257.01286,  78.54410,  20.14,  18.52,  17.61,  17.13,  20.14,  None,  2.53,  A,  comp / circle-noisy / 13.5",  ext / lenticular-S0 / 10",  0.0
A50,  B50,  255.56883,  78.90294,  3.59148,  10.25142,  220.0,  21.211,  20.387,  186,  257,  255.57042,  78.90306,  0.065,  17.8V,  1237663231215599906,  255.56981,  78.90297,  19.06,  17.70,  17.08,  16.68,  19.06,  None,  1.98,  UN,  ext / Iregular / 10.5",  ext / lenticular-S0 / 15",  0.0
A51,  B51,  254.90550,  78.49481,  4.17927,  8.22136,  98.0,  20.859,  20.442,  196,  245,  254.90625,  78.49528,  0.053,  16.4V,  1237655749380866191,  254.90610,  78.49523,  -9999.00,  -9999.00,  -9999.00,  -9999.00,  -9999.00,  None,  0.00,  UN,  ext / two radio sources / 12.5",  ext / lenticular-S0 / 15",  0.0
A52,  B52,  254.58692,  78.72347,  4.29273,  8.36631,  106.0,  20.894,  20.454,  198,  246,  254.58667,  78.72389,  0.053,  ...,  1237663269868798241,  254.58734,  78.72354,  18.61,  17.06,  16.27,  16.38,  18.61,  None,  2.34,  A,  comp / circle-noisy /8.6",  ext / lenticular-E6 / 15",  0.0
A53,  B53,  256.63942,  78.42208,  4.69822,  5.83222,  63.0,  20.668,  20.494,  205,  223,  256.63958,  78.42194,  0.052,  15.61,  1237663269332058258,  256.63838,  78.42226,  18.56,  16.62,  15.71,  15.23,  18.56,  **Note G310:optical position changed,  2.85,  A,  ext / noisy / 6.2",  ext / lenticular-E6 / 15",  0.0
A54,  B54,  256.54883,  78.41042,  4.76447,  10.25142,  312.0,  21.362,  20.501,  208,  257,  256.54792,  78.41056,  0.061,  17.8V,  1237656565428191612,  256.54875,  78.41047,  19.50,  18.18,  17.50,  17.11,  19.50,  None,  2.00,  UN,  ext / lenticular / 11.5",  ext / lenticular-S0 / 17",  0.0
