Name,  Ra Radio,  Dec Radio,  Area observed,  Area detectable,  flux(mJy),  log(lum),  log(lum) detectable,  num Optt,  z,  RaOpt,  DecOpt,   MagNED,   Note
A52,  254.586917,  78.723472,  106.0,  20.893518,  4.292733,  8.366311,  20.453582,  230,  0.053068,  254.586666667,  78.7238888889,         ... ,     None  

A53,  256.639417,  78.422083,  63.0,  20.667553,  4.698221,  5.832223,  20.494344,  186,  0.052123,  256.639583333,  78.4219444444,        15.61,     **Note G310:optical position changed 

A54,  256.548833,  78.410417,  312.0,  21.362367,  4.764471,  10.251422,  20.501115,  251,  0.061101,  256.547916667,  78.4105555556,        17.8V,     None  

A55,  257.139167,  78.498389,  3295.0,  22.386068,  5.045825,  10.251422,  20.530139,  251,  0.062253,  257.139583333,  78.4983333333,        15.2V,     None  

A56,  257.241625,  78.837528,  892.0,  21.818577,  5.580686,  10.251422,  20.586117,  251,  0.053527,  257.242083333,  78.8375,        15.7V,     None  

A57,  255.134083,  78.936056,  255.0,  21.274752,  5.702466,  10.251422,  20.59894,  251,  0.050698,  255.134583333,  78.9361111111,        16.39,     None

A58,  257.3305,  78.5045,  89.0,  20.817602,  6.078165,  8.059809,  20.638524,  217,  0.055706,  257.327916667,  78.5047222222,        16.7R,     None  

A59,  255.855042,  78.344111,  828.0,  21.786243,  6.155401,  10.251422,  20.646653,  251,  0.063117,  255.853333333,  78.3441666667,        16.4R,     None  

A60,  257.4385,  78.518611,  130.0,  20.982156,  6.539134,  10.251422,  20.686901,  244,  0.061913,  257.43,  78.5177777778,        16.63,     None

A61,  255.789884,  78.68897,  43.77,  20.509389,  0.075114,  4.70251,  20.181328,  150,  0.047636,  255.78875,  78.6888888889,        16.8V,     None  

A62,  256.16165,  78.88676,  1032.64,  21.882161,  2.980081,  10.251422,  20.33445,  251,  0.060451,  256.15625,  78.8888888889,        18.1V,     None  

A63,  255.45625,  79.037778,  3165.87,  22.368705,  8.632676,  10.251422,  20.897153,  251,  0.064387,  255.455,  79.0377777778,        15.6 ,     None

A64,  256.97933,  78.747139,  79.85,  20.770487,  2.869135,  7.897207,  20.325603,  209,  0.056516,  256.979583333,  78.7469444444,        17.0V,     None  

A65,  257.41612,  78.552139,  356.42,  21.420174,  5.850165,  10.251422,  20.614504,  251,  0.053817,  257.414583333,  78.5522222222,        15.73,     None

A66,  256.704,  78.592722,  37.25,  20.439339,  1.692168,  3.856448,  20.24584,  132,  0.058077,  256.704166667,  78.5927777778,        16.0V,     None  

A67,  256.75192,  78.689861,  251.9,  21.26944,  1.563813,  10.251422,  20.238618,  251,  0.056559,  256.752083333,  78.6897222222,        17.6V,     None  

A68,  254.50925,  78.563389,  214.62,  21.199882,  5.282973,  10.251422,  20.554865,  251,  0.064051,  254.505,  78.5627777778,        15.40,     None

A69,  255.33471,  78.755306,  47.38,  20.543807,  1.270215,  5.253304,  20.22296,  157,  0.056605,  255.334166667,  78.7555555556,        18.0R,     None  

A70,  255.04458,  79.004444,  350.29,  21.41264,  8.479698,  10.251422,  20.882503,  251,  0.057967,  255.044583333,  79.0044444444,        16.44,     None

A71,  254.95417,  78.972222,  295.76,  21.339152,  7.634608,  10.251422,  20.799374,  251,  0.058836,  254.954166667,  78.9722222222,         ... ,     None  

A72,  257.29125,  78.875556,  1860.86,  22.137926,  6.717274,  10.251422,  20.705474,  251,  0.062526,  257.29125,  78.8755555556,        15.9V,     None  

A73,  256.28583,  78.685,  1128.81,  21.920833,  0.305855,  10.251422,  20.17925,  251,  0.059464,  256.285833333,  78.685,         ... ,     None  

A74,  256.14958,  78.668056,  124.02,  20.961704,  0.1086,  9.236935,  20.178882,  240,  0.065715,  256.149583333,  78.6680555556,        17.8V,     None  

A75,  255.90917,  78.782778,  132.69,  20.99105,  0.797839,  10.251422,  20.199716,  246,  0.066187,  255.9075,  78.7829444444,       None ,     None

A76,  254.19667,  78.783056,  231.75,  21.233232,  7.593249,  10.251422,  20.795216,  251,  0.05653,  254.196666667,  78.7830555556,        16.40,     None

A77,  254.71417,  78.516667,  330.38,  21.387226,  4.750804,  10.251422,  20.499716,  251,  0.061723,  254.714166667,  78.5166666667,        16.11,     None

A78,  257.63,  78.486111,  300.79,  21.346476,  8.605911,  10.251422,  20.894599,  251,  0.05286,  257.63,  78.4861111111,        16.54,     None

A79,  257.19833,  78.432222,  192.51,  21.152666,  6.978708,  10.251422,  20.732559,  251,  0.056239,  257.198333333,  78.4322222222,        17.2V,     None  

A80,  257.17417,  78.395833,  280.39,  21.315975,  7.934279,  10.251422,  20.829263,  251,  0.056765,  257.174166667,  78.3958333333,        17.9V,     None  

A81,  257.34125,  78.368333,  644.79,  21.677631,  9.903554,  10.251422,  21.013858,  251,  0.053797,  257.34125,  78.3683333333,         ... ,     None

A82,  255.53042,  78.291667,  322.89,  21.377267,  8.680287,  10.251422,  20.901687,  251,  0.059121,  255.530416667,  78.2916666667,        15.55,     None

A83,  257.2525,  78.772056,  2150.11,  22.200673,  4.599316,  10.251422,  20.484287,  251,  0.039479,  257.2525,  78.7720555556,       None ,     None

