B45,     255.08125,     78.8102777778,     0.050552,           16.13,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B46,     255.10625,     78.8241666667,     0.051287,           16.5R,     None,  B46,  1237663231215534435,  255.107230277,  78.8240138425,  19.43351,  17.57716,  16.80207,  16.36746,  19.43351
B47,     256.815833333,     78.5022222222,     0.062813,           17.2V,     None,  B47,  1237663230678794661,  256.81521259,  78.5021733364,  18.98319,  17.69519,  16.47644,  16.00573,  18.98319
B48,     256.060416667,     78.91,     0.063314,           18.2V,     None,  B48,  1237663231215665398,  256.060428113,  78.9099566869,  19.53127,  18.47887,  18.13574,  17.80482,  19.53127
B49,     257.013333333,     78.5441666667,     0.059743,           18.0V,     None,  B49,  1237663230678794724,  257.012861163,  78.544097885,  20.13627,  18.51594,  17.60781,  17.13215,  20.13627
B50,     255.570416667,     78.9030555556,     0.065243,           17.8V,     None,  B50,  1237663231215599906,  255.569807712,  78.9029710181,  19.05872,  17.69607,  17.08054,  16.67933,  19.05872
B51,     254.90625,     78.4952777778,     0.052713,           16.4V,     None,  B51,  1237655749380866191,  254.906096612,  78.4952340644,  -9999.0,  -9999.0,  -9999.0,  -9999.0,  -9999.0
B52,     254.586666667,     78.7238888889,     0.053068,            ... ,     None,  B52,  1237663269868798241,  254.587341489,  78.7235395379,  18.60868,  17.06268,  16.26982,  16.38029,  18.60868
B53,     256.639583333,     78.4219444444,     0.052123,           15.61,     **Note G310:optical position changed,  B53,  1237663269332058258,  256.638383023,  78.422263501,  18.55976,  16.62299,  15.70522,  15.23102,  18.55976
B54,     256.547916667,     78.4105555556,     0.061101,           17.8V,     None,  B54,  1237656565428191612,  256.548752481,  78.4104739865,  19.50291,  18.17724,  17.50449,  17.11265,  19.50291
B55,     257.139583333,     78.4983333333,     0.062253,           15.2V,     None,  B55,  1237663230678794417,  257.139081118,  78.4983802393,  17.99263,  15.87979,  14.92031,  14.44202,  17.99263
B56,     257.242083333,     78.8375,     0.053527,           15.7V,     None,  B56,  1237663269869060112,  257.241581614,  78.8374888097,  17.77209,  15.94307,  15.0505,  14.58174,  17.77209
B57,     255.134583333,     78.9361111111,     0.050698,           16.39,     None,  B57,  1237663231215599819,  255.134546147,  78.936088259,  18.71879,  16.95435,  16.05746,  15.57189,  18.71879
B58,     257.327916667,     78.5047222222,     0.055706,           16.7R,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B59,     255.853333333,     78.3441666667,     0.063117,           16.4R,     None,  B59,  1237663269331992717,  255.854894667,  78.3440867177,  18.40294,  17.2278,  16.68898,  16.30788,  18.40294
B60,     257.43,     78.5177777778,     0.061913,           16.63,     None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B61,     255.78875,     78.6888888889,     0.047636,           16.8V,     None,  B61,  1237656565427995145,  255.788411545,  78.6888647016,  -9999.0,  -9999.0,  -9999.0,  -9999.0,  -9999.0
B62,     256.15625,     78.8888888889,     0.060451,           18.1V,     None,  B62,  1237663231215665231,  256.155667193,  78.8888857829,  19.19084,  17.89357,  17.5511,  17.25821,  19.19084
B63,     255.455,     79.0377777778,     0.064387,           15.6 ,     None,  B63,  1237663231215599938,  255.454548538,  79.0378746603,  17.15535,  15.38626,  14.53821,  14.08464,  17.15535
B64,     256.979583333,     78.7469444444,     0.056516,           17.0V,     None,  B64,  1237663269868994834,  256.979324584,  78.7470759588,  19.14963,  17.36313,  16.4453,  16.04538,  19.14963
